cluster_id,size,center_lat,center_lon,neighborhood,supervisor_district,police_district,has_intersection_pct,avg_distance_to_center,most_common_hour,most_common_day,weekend_pct,rush_hour_pct,most_common_season,night_pct,fatal_count,injury_count,fatal_pct,avg_casualties,max_casualties,most_common_collision_type,pedestrian_involved_pct,bicycle_involved_pct,multi_party_pct,most_common_weather,bad_weather_pct,poor_lighting_pct,poor_road_pct,avg_environmental_risk,most_common_party1_action,most_common_party2_action,most_common_at_fault
26,89,37.75300063249031,-122.40635594062458,Mission,9.0,MISSION,100.0,0.025489991925994812,20,Thursday,20.224719101123593,28.08988764044944,Fall,21.34831460674157,1,89,1.1235955056179776,1.3146067415730338,4.0,Other,0.0,0.0,100.0,Good,8.98876404494382,7.865168539325842,2.247191011235955,1.1235955056179776,Proceeding Straight,Proceeding Straight,1.0
27,98,37.72072748594364,-122.47527704703649,Lakeshore,7.0,TARAVAL,100.0,0.07782664660015846,12,Friday,25.510204081632654,24.489795918367346,Fall,19.387755102040817,1,98,1.0204081632653061,1.2244897959183674,4.0,Other,0.0,0.0,100.0,Good,9.183673469387756,1.0204081632653061,0.0,0.8775510204081632,Proceeding Straight,Proceeding Straight,1.0
28,127,37.742651463534116,-122.38813564906594,Bayview Hunters Point,10.0,BAYVIEW,100.0,0.04491674896669191,18,Friday,27.559055118110237,29.92125984251969,Winter,13.385826771653544,1,125,0.7874015748031495,1.6377952755905512,18.0,Other,0.0,0.0,100.0,Good,3.937007874015748,4.724409448818897,3.937007874015748,0.7716535433070866,Proceeding Straight,Proceeding Straight,1.0
29,26,37.755438819697524,-122.41762750401406,Mission,9.0,MISSION,100.0,0.019542309053133613,18,Saturday,46.15384615384615,11.538461538461538,Fall,38.46153846153847,0,26,0.0,1.1538461538461537,4.0,Other,0.0,0.0,100.0,Good,3.8461538461538463,7.6923076923076925,0.0,0.8846153846153846,Proceeding Straight,Proceeding Straight,1.0
30,95,37.73241987602474,-122.40560561115251,Portola,9.0,BAYVIEW,100.0,0.04466678430107377,15,Wednesday,21.052631578947366,27.368421052631582,Fall,18.947368421052634,1,92,1.0526315789473684,1.2526315789473683,6.0,Other,0.0,0.0,100.0,Good,8.421052631578947,6.315789473684211,1.0526315789473684,0.8736842105263158,Proceeding Straight,Proceeding Straight,1.0
31,83,37.77135091372208,-122.45395011044084,Golden Gate Park,5.0,PARK,100.0,0.034732948648810054,18,Sunday,37.34939759036144,18.072289156626507,Fall,38.55421686746988,0,83,0.0,1.1325301204819278,4.0,Other,0.0,0.0,100.0,Good,10.843373493975903,1.2048192771084338,0.0,1.1927710843373494,Proceeding Straight,Proceeding Straight,1.0
32,32,37.72928312805074,-122.39263742607415,Bayview Hunters Point,10.0,BAYVIEW,100.0,0.05288795465832526,16,Wednesday,34.375,31.25,Fall,28.125,0,32,0.0,1.4375,4.0,Other,0.0,0.0,100.0,Good,6.25,9.375,0.0,0.96875,Proceeding Straight,Proceeding Straight,1.0
33,15,37.79773629297556,-122.40626467012706,North Beach,3.0,CENTRAL,100.0,0.026345002137591653,2,Monday,33.33333333333333,13.333333333333334,Winter,53.333333333333336,0,15,0.0,1.1333333333333333,2.0,Other,0.0,0.0,100.0,Good,6.666666666666667,6.666666666666667,0.0,1.4,Proceeding Straight,Proceeding Straight,1.0
34,20,37.722442554817675,-122.39561877463075,Bayview Hunters Point,10.0,BAYVIEW,100.0,0.05759627290279309,0,Sunday,35.0,15.0,Fall,30.0,1,20,5.0,1.6,4.0,Other,0.0,0.0,100.0,Good,0.0,5.0,0.0,0.55,Proceeding Straight,Proceeding Straight,1.0
35,7,37.76961756775371,-122.40763868775102,South of Market,6.0,SOUTHERN,100.0,0.012893366045816871,8,Tuesday,0.0,57.14285714285714,Fall,0.0,1,6,14.285714285714285,1.0,1.0,Other,0.0,0.0,100.0,Good,0.0,0.0,0.0,0.14285714285714285,Backing,Proceeding Straight,1.0
36,5,37.77995808568897,-122.43203150449298,Western Addition,5.0,NORTHERN,100.0,0.013606680733870061,12,Friday,20.0,0.0,Spring,0.0,0,5,0.0,1.4,3.0,Other,0.0,0.0,100.0,Good,0.0,0.0,0.0,0.0,Proceeding Straight,Proceeding Straight,1.0
37,9,37.723673195459874,-122.40080809050308,Bayview Hunters Point,10.0,BAYVIEW,100.0,0.054496280796119546,21,Friday,33.33333333333333,22.22222222222222,Winter,22.22222222222222,0,9,0.0,1.3333333333333333,3.0,Other,0.0,0.0,100.0,Good,0.0,0.0,0.0,0.6666666666666666,Proceeding Straight,Proceeding Straight,1.0
38,7,37.77754884626369,-122.39112702292095,Mission Bay,6.0,SOUTHERN,100.0,0.02839679049238777,19,Wednesday,14.285714285714285,28.57142857142857,Spring,14.285714285714285,0,7,0.0,1.1428571428571428,2.0,Other,0.0,0.0,100.0,Good,0.0,0.0,0.0,1.1428571428571428,Proceeding Straight,Proceeding Straight,1.0
